ikea-com.mail.protection.outlook.com.               104.47.0.36
about.ikea.com                                      104.40.250.100
acc.about.ikea.com                                  52.178.114.226
accounts.ikea.com                                   23.214.21.71
adfs.food.inter.ikea.com                            52.18.1.56
adfs-sharepoint.ikea.com                            85.119.134.237
admin.dev.journeys.ikea.com                         40.68.205.178
adminevents.ikea.com                                23.214.21.71
admin.journeys.ikea.com                             13.94.143.57
admin.qa.journeys.ikea.com                          13.94.143.57
advice.industry.ikea.com                            78.41.243.49
analytics.dexf.ikea.com                             23.214.4.84
api.dexf.ikea.com                                   23.214.4.84
api.food.inter.ikea.com                             52.85.10.122
api.ingka.ikea.com                                  23.214.4.84
api.inter.ikea.com                                  35.241.155.125
api.kitchen.planner.ikea.com                        23.14.248.238
api.thanks.inter.ikea.com                           149.210.176.216
appointmentbooking.ikea.com                         23.214.21.71
arabic.ikea.com                                     204.74.99.103
arassetimages.ikea.com                              23.214.21.71
ar.ikea.com                                         23.214.4.84
ar-int-jobs.about.ikea.com                          23.53.42.104
ar-jobs.about.ikea.com                              23.53.42.195
asia.centiro.ikea.com                               193.228.157.172
askanna-dk.ikea.com                                 193.108.42.79
askanna-gb.ikea.com                                 193.108.42.79
at.accounts.ikea.com                                23.214.25.95
au.accounts.ikea.com                                23.214.25.95
auth-dc7.apps.ikea.com                              192.71.68.162
auth-dc8.apps.ikea.com                              192.71.68.91
auth.dwp.ikea.com                                   192.71.68.160
auth.supplier.ikea.com                              192.71.68.162
autodiscover.ikea.com                               192.71.69.7
autodiscover.ingka.ikea.com                         192.71.69.7
avatars.git.build.ingka.ikea.com                    52.214.10.31
barcode.ingka.ikea.com                              23.214.4.84
bathroomplanner.ikea.com                            23.214.21.71
bi.food.inter.ikea.com                              18.202.155.67
blog.ikea.com.au                                    23.214.4.84
bugs.ikea.com                                       23.214.21.71
business.ikea.com                                   195.69.154.46
ca.accounts.ikea.com                                23.214.25.95
ca.ikea.com                                         23.214.4.84
ca-m.ikea.com                                       23.214.4.84
canada.ikea.com                                     69.10.153.42
capture-sde.edu.ikea.com                            192.71.69.108
capture-sde.ikea.com                                192.71.69.108
ca-securem.ikea.com                                 23.214.4.84
casy.apps.ikea.com                                  192.71.68.89
catalog-integration-test.ikea.com                   52.85.10.7
cats.ikea.com                                       72.32.147.163
